55,Townsend Street,6,13,False,20,False,Dublin,1458056183000,TOWNSEND STREET,22,"{'lat': 53.345922, 'lng': -6.254614}",OPEN,20160315153654
56,Portobello Harbour,25,5,False,30,False,Dublin,1458055672000,PORTOBELLO HARBOUR,34,"{'lat': 53.330362, 'lng': -6.265163}",OPEN,20160315153654
57,Custom House Quay,12,18,False,30,False,Dublin,1458056027000,CUSTOM HOUSE QUAY,8,"{'lat': 53.347884, 'lng': -6.248048}",OPEN,20160315153654
58,Molesworth Street,14,6,False,20,False,Dublin,1458056042000,MOLESWORTH STREET,27,"{'lat': 53.341288, 'lng': -6.258117}",OPEN,20160315153654
59,Kilmainham Lane,27,3,False,30,False,Dublin,1458055967000,KILMAINHAM LANE,96,"{'lat': 53.341805, 'lng': -6.305085}",OPEN,20160315153654
60,Market Street South,30,8,False,38,False,Dublin,1458055833000,MARKET STREET SOUTH,76,"{'lat': 53.342296, 'lng': -6.287661}",OPEN,20160315153654
61,Kevin Street,40,0,True,40,False,Dublin,1458055910000,KEVIN STREET,71,"{'lat': 53.337757, 'lng': -6.267699}",OPEN,20160315153654
62,Eccles Street East,26,1,False,27,False,Dublin,1458055746000,ECCLES STREET EAST,79,"{'lat': 53.358115, 'lng': -6.265601}",OPEN,20160315153654
63,Grand Canal Dock,1,39,False,40,False,Dublin,1458055994000,GRAND CANAL DOCK,69,"{'lat': 53.342638, 'lng': -6.238695}",OPEN,20160315153654
64,Merrion Square East,3,27,False,30,False,Dublin,1458056148000,MERRION SQUARE EAST,25,"{'lat': 53.339434, 'lng': -6.246548}",OPEN,20160315153654
65,York Street West,9,31,False,40,False,Dublin,1458055751000,YORK STREET WEST,51,"{'lat': 53.339334, 'lng': -6.264699}",OPEN,20160315153654
66,St. Stephen's Green South,14,16,True,30,False,Dublin,1458055769000,ST. STEPHEN'S GREEN SOUTH,37,"{'lat': 53.337494, 'lng': -6.26199}",OPEN,20160315153654
67,Denmark Street Great,6,14,False,20,False,Dublin,1458056164000,DENMARK STREET GREAT,59,"{'lat': 53.35561, 'lng': -6.261397}",OPEN,20160315153654
